OrderID	ProductID	UnitPrice	Quantity	Discount
10248	11	14	12	0
10248	42	10	10	0
10248	72	35	5	0
10249	14	19	9	0
10249	51	42	40	0
10250	41	8	10	0
10250	51	42	35	0.150000005960464
10250	65	17	15	0.150000005960464
10251	22	17	6	0.0500000007450581
10251	57	16	15	0.0500000007450581
10251	65	17	20	0
10252	20	65	40	0.0500000007450581
10252	33	2	25	0.0500000007450581
10252	60	27	40	0
10253	31	10	20	0
10253	39	14	42	0
10253	49	16	40	0
10254	24	4	15	0.150000005960464
10254	55	19	21	0.150000005960464
10254	74	8	21	0
10255	2	15	20	0
10255	16	14	35	0
10255	36	15	25	0
10255	59	44	30	0
10256	53	26	15	0
10256	77	10	12	0
10257	27	35	25	0
10257	39	14	6	0
10257	77	10	15	0
10258	2	15	50	0.200000002980232
10258	5	17	65	0.200000002980232
10258	32	26	6	0.200000002980232
10259	21	8	10	0
10259	37	21	1	0
10260	41	8	16	0.25
10260	57	16	50	0
10260	62	39	15	0.25
10260	70	12	21	0.25
10261	21	8	20	0
10261	35	14	20	0
10262	5	17	12	0.200000002980232
10262	7	24	15	0
10262	56	30	2	0
10263	16	14	60	0.25
10263	24	4	28	0
10263	30	21	60	0.25
10263	74	8	36	0.25
10264	2	15	35	0
10264	41	8	25	0.150000005960464
10265	17	31	30	0
10265	70	12	20	0
10266	12	30	12	0.0500000007450581
10267	40	15	50	0
10267	59	44	70	0.150000005960464
10267	76	14	15	0.150000005960464
10268	29	99	10	0
10268	72	28	4	0
10269	33	2	60	0.0500000007450581
10269	72	28	20	0.0500000007450581
10270	36	15	30	0
10270	43	37	25	0
10271	33	2	24	0
10272	20	65	6	0
10272	31	10	40	0
10272	72	28	24	0
10273	10	25	24	0.0500000007450581
10273	31	10	15	0.0500000007450581
10273	33	2	20	0
10273	40	15	60	0.0500000007450581
10273	76	14	33	0.0500000007450581
10274	71	17	20	0
10274	72	28	7	0
10275	24	4	12	0.0500000007450581
10275	59	44	6	0.0500000007450581
10276	10	25	15	0
10276	13	5	10	0
10277	28	36	20	0
10277	62	39	12	0
10278	44	16	16	0
10278	59	44	15	0
10278	63	35	8	0
10278	73	12	25	0
10279	17	31	15	0.25
10280	24	4	12	0
10280	55	19	20	0
10280	75	6	30	0
10281	19	7	1	0
10281	24	4	6	0
10281	35	14	4	0
10282	30	21	6	0
10282	57	16	2	0
10283	15	12	20	0
10283	19	7	18	0
10283	60	27	35	0
10283	72	28	3	0
10284	27	35	15	0.25
10284	44	16	21	0
10284	60	27	20	0.25
10284	67	11	5	0.25
10285	1	14	45	0.200000002980232
10285	40	15	40	0.200000002980232
10285	53	26	36	0.200000002980232
10286	35	14	100	0
10286	62	39	40	0
10287	16	14	40	0.150000005960464
10287	34	11	20	0
10287	46	10	15	0.150000005960464
10288	54	6	10	0.100000001490116
10288	68	10	3	0.100000001490116
10289	3	8	30	0
10289	64	27	9	0
10290	5	17	20	0
10290	29	99	15	0
10290	49	16	15	0
10290	77	10	10	0
10291	13	5	20	0.100000001490116
10291	44	16	24	0.100000001490116
10291	51	42	2	0.100000001490116
10292	20	65	20	0
10293	18	50	12	0
10293	24	4	10	0
10293	63	35	5	0
10293	75	6	6	0
10294	1	14	18	0
10294	17	31	15	0
10294	43	37	15	0
10294	60	27	21	0
10294	75	6	6	0
10295	56	30	4	0
10296	11	17	12	0
10296	16	14	30	0
10296	69	29	15	0
10297	39	14	60	0
10297	72	28	20	0
10298	2	15	40	0
10298	36	15	40	0.25
10298	59	44	30	0.25
10298	62	39	15	0
